,id,conversation_id,created_at,date,timezone,place,tweet,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
22,1287780395312984064,1287780395312984064,1595865746000,2020-07-27 18:02:26,"Paris, Madrid (heure d’été)",,"#PlusDe70kgEtSereine
Je ne me suis jamais autant assumée de toute ma vie 💕  pic.twitter.com/TlqzZXSn0K",['#plusde70kgetsereine'],[],406272894,406272894,Mlle_Robot,Cha' 💀,1,18,https://twitter.com/Mlle_Robot/status/1287780395312984064,False,1,0,1,,PlusDe70kgEtSereine,,,,,,,"[{'user_id': '406272894', 'username': 'Mlle_Robot'}]",,,,
23,1287780373448077320,1287780373448077320,1595865741000,2020-07-27 18:02:21,"Paris, Madrid (heure d’été)",,"Etre trop maigre ou trop gros mène à des maladies.

Promouvoir le fait d'être en surpoids est un danger   

#PlusDe70kgEtSereine",['#plusde70kgetsereine'],[],1245037252712910848,1245037252712910848,alex23303093,alex,1,18,https://twitter.com/alex23303093/status/1287780373448077320,False,0,0,0,,PlusDe70kgEtSereine,,,,,,,"[{'user_id': '1245037252712910848', 'username': 'alex23303093'}]",,,,
24,1287780253503565824,1287780253503565824,1595865712000,2020-07-27 18:01:52,"Paris, Madrid (heure d’été)",,ce n’était pas le cas d Agnès femme de #XavierDupontdeLigonnes qui a entamé un régime drastique 😅 #PlusDe70kgEtSereine  pic.twitter.com/bo8yc8b5dM,"['#xavierdupontdeligonnes', '#plusde70kgetsereine']",[],1164090849443155968,1164090849443155968,Lily_Hoppp,LilyHop,1,18,https://twitter.com/Lily_Hoppp/status/1287780253503565824,False,1,0,1,,PlusDe70kgEtSereine,,,,,,,"[{'user_id': '1164090849443155968', 'username': 'Lily_Hoppp'}]",,,,
25,1287780246368944128,1287780246368944128,1595865711000,2020-07-27 18:01:51,"Paris, Madrid (heure d’été)",,Eh vous êtes si belles les filles je vous aime 🤎 #PlusDe70kgEtSereine,['#plusde70kgetsereine'],[],584901362,584901362,sadflxw,funky fresh丨aphrodite's daughter,1,18,https://twitter.com/sadflxw/status/1287780246368944128,False,0,0,0,,PlusDe70kgEtSereine,,,,,,,"[{'user_id': '584901362', 'username': 'sadflxw'}]",,,,
26,1287780237036658695,1287780237036658695,1595865708000,2020-07-27 18:01:48,"Paris, Madrid (heure d’été)",,"Bon bah, un # pour moi 🤷‍♀️ #PlusDe70kgEtSereine  pic.twitter.com/SQnkW9revH",['#plusde70kgetsereine'],[],3047962391,3047962391,belivxrs,Elo.🥀,1,18,https://twitter.com/belivxrs/status/1287780237036658695,False,3,0,1,,PlusDe70kgEtSereine,,,,,,,"[{'user_id': '3047962391', 'username': 'belivxrs'}]",,,,
27,1287780216681660416,1287780216681660416,1595865704000,2020-07-27 18:01:44,"Paris, Madrid (heure d’été)",,"Mesdemoiselles, choisissez votre idéal. #PlusDe70kgEtSereine  pic.twitter.com/xPl0MFJHYI",['#plusde70kgetsereine'],[],1280507382116814855,1280507382116814855,FrancoisOAS,François,1,18,https://twitter.com/FrancoisOAS/status/1287780216681660416,False,0,0,0,,PlusDe70kgEtSereine,,,,,,,"[{'user_id': '1280507382116814855', 'username': 'FrancoisOAS'}]",,,,
28,1287780190840659968,1287780190840659968,1595865697000,2020-07-27 18:01:37,"Paris, Madrid (heure d’été)",,Trop bon hashtag 🥰🥰🥰#PlusDe70kgEtSereine,['#plusde70kgetsereine'],[],1084587458883452928,1084587458883452928,SOOMIxJOON,N A M R O U ⁷,1,18,https://twitter.com/SOOMIxJOON/status/1287780190840659968,False,0,0,0,,PlusDe70kgEtSereine,,,,,,,"[{'user_id': '1084587458883452928', 'username': 'SOOMIxJOON'}]",,,,
29,1287780190265974784,1287780190265974784,1595865697000,2020-07-27 18:01:37,"Paris, Madrid (heure d’été)",,#PlusDe70kgEtSereine Vous êtes magnifiques sur ce # :((♡,['#plusde70kgetsereine'],[],1097628482186682370,1097628482186682370,xxmxlix,#54,1,18,https://twitter.com/xxmxlix/status/1287780190265974784,False,0,0,0,,PlusDe70kgEtSereine,,,,,,,"[{'user_id': '1097628482186682370', 'username': 'xxmxlix'}]",,,,
30,1287780158087270403,1287780158087270403,1595865690000,2020-07-27 18:01:30,"Paris, Madrid (heure d’été)",,#PlusDe70kgEtSereine On est belle. Envoyez chier ceux qui veulent vous changer.  pic.twitter.com/29fNPoCbpL,['#plusde70kgetsereine'],[],1006902903821488128,1006902903821488128,_GingerRox,Fiona de ta tl | 𝑴𝒊𝒅𝒏𝒊𝒈𝒉𝒕 𝑴𝒆𝒎𝒐𝒓𝒊𝒆𝒔,1,18,https://twitter.com/_GingerRox/status/1287780158087270403,False,5,1,2,,PlusDe70kgEtSereine,,,,,,,"[{'user_id': '1006902903821488128', 'username': '_GingerRox'}]",,,,
31,1287780082757533704,1287780082757533704,1595865672000,2020-07-27 18:01:12,"Paris, Madrid (heure d’été)",,la racli est fraîche #PlusDe70kgEtSereine  pic.twitter.com/rRZPizqWgt,['#plusde70kgetsereine'],[],1074712745923239936,1074712745923239936,mardyboumm,Kenza,1,18,https://twitter.com/mardyboumm/status/1287780082757533704,False,2,0,1,,PlusDe70kgEtSereine,,,,,,,"[{'user_id': '1074712745923239936', 'username': 'mardyboumm'}]",,,,
